"filename", "language", "JavaScript", "JSON with Comments", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\FYPworkspace.code-workspace", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\api-routes.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 11, 29
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\index.js", "JavaScript", 33, 0, 0, 0, 0, 0, 1, 25, 59
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\mqttHandler.js", "JavaScript", 67, 0, 0, 0, 0, 0, 4, 34, 105
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\package-lock.json", "JSON", 0, 0, 1109, 0, 0, 0, 0, 1, 1110
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\package.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\css\index.css", "CSS", 0, 0, 0, 0, 61, 0, 1, 19, 81
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\css\select2.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\js\chart2_js.js", "JavaScript", 73, 0, 0, 0, 0, 0, 11, 36, 120
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\js\chart_js.js", "JavaScript", 209, 0, 0, 0, 0, 0, 15, 73, 297
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\js\main.js", "JavaScript", 97, 0, 0, 0, 0, 0, 6, 58, 161
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\css\bootstrap-theme.css", "CSS", 0, 0, 0, 0, 581, 0, 6, 1, 588
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\css\bootstrap-theme.min.css", "CSS", 0, 0, 0, 0, 1, 0, 4, 0, 5
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\css\bootstrap.css", "CSS", 0, 0, 0, 0, 6795, 0, 8, 12, 6815
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 4, 0, 5
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, 288, 0, 0, 288
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\js\bootstrap.js", "JavaScript", 1588, 0, 0, 0, 0, 0, 193, 583, 2364
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\js\bootstrap.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 5, 0, 7
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\bootstrap-3.3.5-dist\js\npm.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 0, 13
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\chart.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 6, 1, 8
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\chart.js", "JavaScript", 11473, 0, 0, 0, 0, 0, 2287, 2392, 16152
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\jquery.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\moment.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\public\libs\select2.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\rideController.js", "JavaScript", 129, 0, 0, 0, 0, 0, 9, 32, 170
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\rideModel.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\views\conditions.ejs", "HTML", 0, 0, 0, 49, 0, 0, 0, 19, 68
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\views\index.ejs", "HTML", 0, 0, 0, 101, 0, 0, 2, 19, 122
"c:\Users\Shane\Desktop\Level 8 Docs\bikebackend\views\ride.ejs", "HTML", 0, 0, 0, 75, 0, 0, 1, 22, 98
"Total", "-", 13731, 7, 1127, 225, 7440, 288, 2567, 3345, 28730
